0	-11.4646
0	1.28917
1	8.7944
1	-11.4701
2	-4.03603
2	-8.91646
3	13.863
3	-2.87148
4	6.63129
4	15.8601
5	11.0863
5	5.77312
6	0.637131
6	12.4548
7	-5.79957
7	12.3764
0	-3.71422
0	-1.56824
0	-10.3164
0	-12.1891
0	-7.03717
0	-2.5525
0	5.19592
0	10.9363
1	6.70052
1	-9.49735
1	3.51368
1	9.14451
1	3.85298
1	-6.21781
1	2.69275
1	-11.5985
2	-4.97655
2	11.8467
2	-11.0349
2	2.71021
2	-8.63825
2	-6.72533
2	-6.74064
2	-0.372585
3	-6.34157
3	1.10347
3	6.67686
3	-3.51157
3	7.46825
3	5.57411
3	3.02456
3	-0.410792
